Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Fe_Si_Ratio
-73.92415498763413,-73.5119538334709,56.721128336148894,58.19144590345417,0.06432867050521125
-73.92415498763413,-73.5119538334709,58.19144590345417,59.66176347075944,0.06432867050521125
-72.68755152514444,-72.27535037098122,-43.05496009754563,-41.68550969852109,0.00294200757134544
-72.68755152514444,-72.27535037098122,-41.68550969852109,-40.316059299496544,0.00294200757134544
-72.27535037098122,-71.86314921681799,-43.42525101331785,-42.086282885997434,0.00294200757134544
-72.27535037098122,-71.86314921681799,-42.086282885997434,-40.74731475867702,0.00294200757134544
-72.27535037098122,-71.86314921681799,-40.74731475867702,-39.40834663135661,0.00294200757134544
-71.86314921681799,-71.45094806265476,-43.77251919038008,-42.46263956721066,0.00294200757134544
-71.86314921681799,-71.45094806265476,-42.46263956721066,-41.152759944041236,0.00294200757134544
-71.86314921681799,-71.45094806265476,-41.152759944041236,-39.842880320871814,0.00294200757134544
-71.86314921681799,-71.45094806265476,-39.842880320871814,-38.53300069770239,0.06265258538468489
-71.86314921681799,-71.45094806265476,-38.53300069770239,-37.22312107453297,0.06265258538468489
-71.86314921681799,-71.45094806265476,-37.22312107453297,-35.91324145136355,0.06265258538468489
-71.45094806265476,-71.03874690849153,-44.09813533814906,-42.81604227530141,0.00294200757134544
-71.45094806265476,-71.03874690849153,-42.81604227530141,-41.53394921245376,0.00294200757134544
-71.45094806265476,-71.03874690849153,-41.53394921245376,-40.25185614960611,0.00294200757134544
-71.45094806265476,-71.03874690849153,-40.25185614960611,-38.96976308675846,0.06265258538468489
-71.45094806265476,-71.03874690849153,-38.96976308675846,-37.68767002391081,0.06265258538468489
-71.45094806265476,-71.03874690849153,-37.68767002391081,-36.40557696106316,0.06265258538468489
-71.45094806265476,-71.03874690849153,-36.40557696106316,-35.12348389821551,0.06265258538468489
-71.03874690849153,-70.6265457543283,-43.14782696585968,-41.892302442610685,0.00294200757134544
-71.03874690849153,-70.6265457543283,-41.892302442610685,-40.63677791936169,0.00294200757134544
-71.03874690849153,-70.6265457543283,-40.63677791936169,-39.3812533961127,0.032797296478015166
-71.03874690849153,-70.6265457543283,-39.3812533961127,-38.125728872863704,0.06265258538468489
-71.03874690849153,-70.6265457543283,-38.125728872863704,-36.87020434961471,0.06265258538468489
-71.03874690849153,-70.6265457543283,-36.87020434961471,-35.614679826365716,0.06265258538468489
-70.6265457543283,-70.21434460016508,-39.76892487110433,-38.53882772085086,0.06265258538468489
-70.6265457543283,-70.21434460016508,-38.53882772085086,-37.30873057059739,0.06265258538468489
-70.6265457543283,-70.21434460016508,-37.30873057059739,-36.07863342034392,0.06265258538468489
-70.21434460016508,-69.80214344600185,-40.13411012254949,-38.928369692571465,0.06265258538468489
-70.21434460016508,-69.80214344600185,-38.928369692571465,-37.72262926259344,0.06265258538468489
-70.21434460016508,-69.80214344600185,-37.72262926259344,-36.51688883261542,0.06265258538468489
-70.21434460016508,-69.80214344600185,-36.51688883261542,-35.3111484026374,0.06265258538468489
-70.21434460016508,-69.80214344600185,76.82271158531864,78.02845201529664,0.0483348745266195
-70.21434460016508,-69.80214344600185,78.02845201529664,79.23419244527463,0.0483348745266195
-70.21434460016508,-69.80214344600185,79.23419244527463,80.43993287525268,0.0483348745266195
-70.21434460016508,-69.80214344600185,80.43993287525268,81.64567330523073,0.0483348745266195
-69.80214344600185,-69.38994229183862,-75.9497197442206,-74.76733019585947,0.05180214573876638
-69.80214344600185,-69.38994229183862,-74.76733019585947,-73.58494064749834,0.05180214573876638
-69.80214344600185,-69.38994229183862,-73.58494064749834,-72.40255109913721,0.05180214573876638
-69.80214344600185,-69.38994229183862,-72.40255109913721,-71.22016155077608,0.05180214573876638
-69.80214344600185,-69.38994229183862,77.76092154272624,78.94331109108737,0.0483348745266195
