Latitude_1,Latitude_2,Latitude_3,Latitude_4,Longitude_1,Longitude_2,Longitude_3,Longitude_4,Timestamp,Mg,Peak_Amplitude@Mg,Sigma_Mg,Al,Peak_Amplitude@Al,Sigma_Al,Si,Peak_Amplitude@Si,Sigma_Si,Fe,Peak_Amplitude@Fe,Sigma_Fe,Ca,Peak_Amplitude@Ca,Sigma_Ca,Ti,Peak_Amplitude@Ti,Sigma_Ti,Cr,Peak_Amplitude@Cr,Sigma_Cr,O,Peak_Amplitude@O,Sigma_O,Solar_spec_Energy,Solar_spec_Amp,Solar_spec_Power,Reduced_ChiSq
-83.5765,-84.8495,-84.888,-83.6073,-12.2275,-13.7045,-3.8887,-4.3737,2020-01-09T20:58:58.740,1.26,3.3001393711084894,0.125,1.49,16.030982667741597,0.04444024413313452,1.74,3.696752877965043,0.07489477825380234,,,,,,,4.52,1.246990122921557,0.125,,,,0.535,3.1896128582719223,0.015903443938152285,0.4655842658122356,10.192879845438556,-0.2614182243477217,6.553974013253272
-83.1739,-84.448,-84.4837,-83.2029,-11.877,-13.1675,-4.0666,-4.4883,2020-01-09T20:59:06.740,1.26,4.19188262427485,0.125,1.49,13.93204335431356,0.05387349388685901,1.75,3.7679863712886696,0.07101785044255055,6.4,2.5364475973793947,0.125,,,,4.51,2.454618268287379,0.125,,,,,,,0.4999999999999812,13.224812189445235,-0.22917305376782973,8.818486657063005
-80.3514,-81.6281,-81.6517,-80.372,-10.2468,-10.8517,-4.8263,-5.0221,2020-01-09T21:00:02.740,1.25,2.751659829521492,0.125,1.49,19.78670182376488,0.04539558870512617,1.74,4.086271474466514,0.06619687377252029,6.4,2.702807529418155,0.125,,,,4.52,2.4411860487937846,0.125,5.42,2.447649100895534,0.125,0.535,2.8473993990449693,0.125,0.4728176961779452,11.114829711860821,-0.2811551386498838,8.008337665220768
-78.7361,-80.013,-80.0328,-78.7537,-9.6838,-10.1179,-5.0668,-5.2067,2020-01-09T21:00:34.740,1.26,3.163441757271195,0.125,1.49,18.909294845019538,0.04903832578951319,1.7425393297029752,4.864573976552361,0.048282432333681055,6.41,2.1025443330833675,0.125,,,,4.51,1.7565222924736208,0.125,,,,,,,0.38478730180956894,7.418935242828709,-0.3196892281450656,5.168673830846727
-78.3321,-79.6088,-79.6279,-78.3491,-9.5679,-9.9702,-5.1152,-5.2451,2020-01-09T21:00:42.740,1.26,1.5662763565676636,0.08511894496059712,1.49,19.60303656863332,0.04518362223033326,1.75,3.326743380244784,0.0721830993793235,6.4,1.2098972295282664,0.11472375968135272,,,,4.52,1.8259892783224543,0.125,5.42,2.0376730448190528,0.125,0.525,0.9961367458321746,0.014006225746591593,0.38932621358505504,9.136996526821848,-0.2861548030884952,5.815443461481466
-61.7408,-63.0085,-63.016,-61.748,-7.6949,-7.7579,-5.8548,-5.8735,2020-01-09T21:06:10.740,1.26,4.125215845396747,0.125,1.49,17.842998323407596,0.05844857092329781,1.7400428058175288,13.528656661742795,0.008099158964252947,,,,3.69,1.3725954696248202,0.125,4.51,1.9216213013775068,0.125,5.42,2.047942709771184,0.125,0.535,6.613687817462754,0.05326588076851728,0.4660914335174944,12.636461790187102,-0.25197864000724574,7.726224264146518
-61.3355,-62.6034,-62.6107,-61.3426,-7.677,-7.7379,-5.8615,-5.8798,2020-01-09T21:06:18.740,1.26,2.7667907846532884,0.125,1.49,13.176689724678042,0.040910160200910435,1.75,1.3439729885373135,0.10119226251209897,6.4,0.018368952014831706,0.004100459725146757,3.6999999999999997,1.2150759247167697,0.12114740126696,4.51,1.7035180912752508,0.09910858355083559,5.41,1.4785424568094778,0.10961379166722376,,,,0.4384709543076602,9.075230560579877,-0.27001392913171696,7.424500028626696
-60.9304,-62.1978,-62.205,-60.9373,-7.6596,-7.7188,-5.8684,-5.886,2020-01-09T21:06:26.740,1.26,3.2551975303036182,0.125,1.49,16.62709441723761,0.06077112631719436,1.74,3.4500910668171394,0.0498145543872386,6.4,1.4685054954328336,0.125,,,,4.52,1.7083710493976643,0.125,,,,0.535,2.2980836379737273,0.01978552276113294,0.47174921258412517,7.449782137394103,-0.23848476072740732,6.694769796235935
-60.1199,-61.3867,-61.3938,-60.1267,-7.6263,-7.6822,-5.8813,-5.8978,2020-01-09T21:06:42.740,1.26,2.185847400865094,0.125,1.49,18.974154240417512,0.053460125990851204,1.75,3.003599576508122,0.05044438743105905,,,,,,,4.52,2.2849129710536253,0.125,5.42,1.7481805076723076,0.125,0.535,3.224074862824069,0.125,0.4529099031056027,10.092021882471736,-0.31892264917131946,6.973565463562084
-58.9043,-60.1702,-60.177,-58.9108,-7.5798,-7.6312,-5.8993,-5.9144,2020-01-09T21:07:06.740,1.26,2.8385919072797634,0.125,1.49,22.582437657874795,0.04216718270928034,1.74,1.600493932798911,0.07969500599117317,6.41,1.7069571903221081,0.125,3.6999999999999997,1.3480061043894223,0.125,4.52,1.0855567084796218,0.125,,,,,,,0.4969240345408866,4.436374583633126,-0.2519351741491777,4.740850862003176
-56.0667,-57.3306,-57.3369,-56.0728,-7.4851,-7.5281,-5.9364,-5.9484,2020-01-09T21:08:02.740,1.25,2.0852715204883867,0.125,1.49,13.356627805532348,0.05253861577377581,1.74,1.8993059024989265,0.08109581926711437,,,,,,,4.51,0.8796819134212297,0.125,,,,,,,0.49999999999999895,2.8396103737363987,-0.31547446668387946,3.251932010981171
-51.2004,-52.4605,-52.4661,-51.2058,-7.3578,-7.39,-5.9866,-5.9953,2020-01-09T21:09:38.740,1.25,2.640749604023502,0.125,1.49,15.299624086360112,0.03809943508593255,1.75,1.853411801884508,0.125,,,,3.6999999999999997,1.9465880468006294,0.125,4.51,1.266236187218863,0.125,5.41,1.1652133940460119,0.125,,,,0.4999999999999181,5.974659014816468,-0.3102207209549801,4.074617261787582
-43.8955,-45.1496,-45.1543,-43.9001,-7.2226,-7.2448,-6.0415,-6.0467,2020-01-09T21:12:02.740,1.26,3.422062113298269,0.125,1.49,13.334942012182855,0.05274127716145802,1.75,8.493597257431569,0.01522145589090957,,,,3.69,1.3194756374939791,0.125,,,,5.42,1.375796953577724,0.125,,,,0.4999999999991161,2.9084243499218627,-0.34704778792495355,3.128655119152361
-41.0528,-42.3045,-42.3091,-41.0572,-7.1825,-7.2022,-6.0582,-6.0624,2020-01-09T21:12:58.740,1.25,2.239019968497991,0.125,1.49,13.543140662058306,0.06915766878762307,1.74,5.668938640214777,0.041768366926378885,6.4,1.4639777379767744,0.125,3.6999999999999997,1.962965096243638,0.125,4.517665314793227,2.2509133939238017,0.125,5.41,1.738649436629365,0.125,0.535,1.6431702119978142,0.125,0.4999999999999989,5.419870417871083,-0.3538786417844234,4.665693408600459
-39.4281,-40.6784,-40.6828,-39.4324,-7.1622,-7.1804,-6.0667,-6.0705,2020-01-09T21:13:30.740,1.26,2.8462897328296117,0.125,1.4931802203033717,17.108733956685104,0.018754049601812105,1.74,1.9143675208470794,0.125,6.41,1.5924015180352176,0.125,3.6999999999999997,1.7369277832261232,0.125,4.51,1.8784600318056492,0.125,5.4141047653007774,2.301559386475911,0.125,,,,0.49999999999999956,3.6317154243998693,-0.3784197452413865,3.6776758414145707
26.2698,25.0617,25.0505,26.2584,-56.3427,-56.3569,-55.4738,-55.4525,2020-01-13T15:58:22.919,1.25,0.7768545356596525,0.125,1.4983870837285655,6.285594829317409,0.05649089765810921,1.75,1.1832465555986855,0.125,6.4,0.9330594460808117,0.125,3.6964362191787674,1.2611116189756968,0.125,,,,5.42,0.9017940334581556,0.125,0.535,3.5409638459677955,0.02915174685008316,0.49602425847323045,1.653475945997926,-0.5149769699310062,1.565473004326966
